comuni,CODISTAT_comune,popolazione,societa_di_regolamentazione_dei_rifiuti,tipo_ubicazione,altri_rifiuti_differenziati,ingombranti,cartone,frazione_organica_umida,legno,metallo,plastica,rifiuti_apparecchiature_elettriche_ed_elettroniche,raccolta_selettiva,tessili,vetro,costruzione_e_demolizione,pulizia_stradale,riciclo_annuale_tonnellate,rifiuti_totali_annuale_tonnellate,raccolta_comunale,extra_discarica_municipale
Pollina,082059,2854,PALERMO PROVINCIA EST,COSTIERO,99,80,136,492,29,1,0,14,1,2,163,0,13,439,1469,1470,1
Porto Empedocle,084028,15661,AGRIGENTO PROVINCIA EST,COSTIERO,534,142,532,1819,28,0,49,9,0,0,491,0,111,2902,6618,6618,0
Portopalo di Capo Passero,089020,3798,SIRACUSA PROVINCIA,COSTIERO,1,48,191,722,0,0,202,7,2,0,220,0,0,556,1948,1975,26
Pozzallo,088008,18997,RAGUSA PROVINCIA,COSTIERO,699,341,849,2087,1,17,0,34,1,10,663,0,289,2464,7457,7502,45
Priolo Gargallo,089021,11453,SIRACUSA PROVINCIA,COSTIERO,319,26,414,1091,138,0,13,13,0,4,276,0,0,3405,5699,5699,0
Prizzi,082060,4264,PALERMO PROVINCIA OVEST,INTERNO,0,23,158,502,0,7,119,33,1,0,172,0,0,200,1214,1214,0
Racalmuto,084029,7645,AGRIGENTO PROVINCIA EST,INTERNO,267,0,324,796,25,0,55,23,1,44,249,0,86,963,2835,2839,5
Raccuja,083069,889,MESSINA PROVINCIA,INTERNO,1,7,21,78,0,0,22,1,0,0,45,0,0,66,241,242,1
Raddusa,087036,2848,CATANIA PROVINCIA SUD,INTERNO,113,9,72,369,0,0,0,3,0,8,77,0,0,283,934,934,0
Raffadali,084030,12184,AGRIGENTO PROVINCIA EST,INTERNO,1,125,530,1295,23,25,476,53,1,24,275,0,43,1475,4346,4353,7
Ragalna,087058,4184,CATANIA AREA METROPOLITANA,INTERNO,0,6,155,534,43,0,129,3,0,0,126,0,0,597,1592,1592,0
Ragusa,088009,72779,RAGUSA PROVINCIA,COSTIERO,2819,286,4370,12559,749,64,144,172,13,141,2526,400,79,10300,34622,34644,23
Ramacca,087037,10344,CATANIA PROVINCIA SUD,INTERNO,388,24,376,1397,0,0,0,11,2,9,242,0,128,1034,3612,3614,2
Randazzo,087038,10313,CATANIA PROVINCIA NORD,INTERNO,0,198,461,974,1,40,230,23,1,15,340,0,0,1662,3945,3945,0
Ravanusa,084031,10500,AGRIGENTO PROVINCIA EST,INTERNO,332,30,361,0,0,0,0,0,4,9,249,13,117,2786,3900,4075,175
Realmonte,084032,4384,AGRIGENTO PROVINCIA EST,COSTIERO,170,60,239,772,2,0,0,7,0,8,128,0,115,992,2491,2491,0
Regalbuto,086016,6743,ENNA PROVINCIA,INTERNO,0,11,321,572,77,16,161,51,10,13,211,0,0,911,2354,2354,0
Reitano,083070,733,MESSINA PROVINCIA,COSTIERO,100,20,27,174,0,0,14,0,0,0,55,0,0,181,571,571,0
Resuttano,085014,1767,CALTANISSETTA PROVINCIA NORD,INTERNO,0,31,49,183,0,0,61,1,0,1,65,0,0,142,532,532,0
Ribera,084033,17986,AGRIGENTO PROVINCIA OVEST,COSTIERO,6,136,785,2635,108,88,603,92,25,12,452,13,0,2500,7455,7510,55
Riesi,085015,10631,CALTANISSETTA PROVINCIA SUD,INTERNO,274,33,293,1054,0,0,0,8,1,4,300,0,34,1640,3641,3650,10
Riposto,087039,14078,CATANIA PROVINCIA NORD,COSTIERO,188,150,776,1342,8,25,342,60,1,0,301,10,163,4210,7578,7621,43
Roccafiorita,083071,182,MESSINA AREA METROPOLITANA,INTERNO,0,0,3,20,0,0,4,0,0,4,3,0,0,13,47,47,0
Roccalumera,083072,3914,MESSINA AREA METROPOLITANA,COSTIERO,184,129,219,637,68,0,1,18,7,16,158,62,0,606,2105,2111,6
Roccamena,082061,1394,PALERMO PROVINCIA OVEST,INTERNO,0,8,44,171,0,0,38,4,0,6,43,0,0,74,388,388,0
Roccapalumba,082062,2264,PALERMO PROVINCIA OVEST,INTERNO,64,37,61,177,0,0,55,3,1,0,84,0,0,262,745,745,0
Roccavaldina,083073,1006,MESSINA AREA METROPOLITANA,INTERNO,20,9,17,30,0,0,0,3,0,0,24,0,0,317,421,424,3
Roccella Valdemone,083074,567,MESSINA PROVINCIA,INTERNO,0,9,12,8,0,0,10,0,0,0,15,0,0,149,203,203,0
Rod Milici,083075,1947,MESSINA PROVINCIA,INTERNO,48,10,53,215,0,0,0,6,0,0,56,0,0,237,625,625,0
Rometta,083076,6529,MESSINA AREA METROPOLITANA,COSTIERO,0,114,230,1081,29,0,192,14,2,16,185,0,0,371,2233,2238,5
Rosolini,089016,20639,SIRACUSA PROVINCIA,INTERNO,762,153,843,2259,166,0,0,80,2,21,523,0,0,2112,6920,6943,22
Salaparuta,081017,1595,TRAPANI PROVINCIA SUD,INTERNO,35,0,67,172,11,0,38,1,0,5,5,7,0,126,469,470,2
Salemi,081018,10082,TRAPANI PROVINCIA SUD,INTERNO,329,57,442,1131,65,14,116,83,4,59,291,56,14,631,3291,3297,6
Sambuca di Sicilia,084034,5418,AGRIGENTO PROVINCIA OVEST,INTERNO,0,39,266,642,87,4,265,22,2,13,203,0,0,344,1885,1885,0
San Biagio Platani,084035,2919,AGRIGENTO PROVINCIA OVEST,INTERNO,0,103,88,344,0,13,78,20,4,6,91,0,0,355,1102,1103,1
San Cataldo,085016,21212,CALTANISSETTA PROVINCIA NORD,INTERNO,645,318,833,2258,0,0,8,66,6,54,592,9,144,2157,7088,7090,2
San Cipirello,082063,4998,PALERMO PROVINCIA OVEST,INTERNO,131,9,233,620,0,0,174,10,0,0,179,4,0,182,1542,1546,3
San Cono,087040,2440,CATANIA PROVINCIA SUD,INTERNO,104,9,63,339,0,0,0,4,1,9,82,0,21,158,790,790,0
San Filippo del Mela,083077,6791,MESSINA AREA METROPOLITANA,COSTIERO,185,15,274,732,0,2,0,10,1,0,163,0,27,1199,2608,2622,14
San Fratello,083078,3323,MESSINA PROVINCIA,INTERNO,98,26,94,278,0,0,0,0,0,0,107,0,0,198,801,802,1
San Giovanni Gemini,084036,7604,AGRIGENTO PROVINCIA EST,INTERNO,0,157,280,776,0,30,158,95,1,14,228,0,0,675,2414,2416,2
San Giovanni la Punta,087041,23649,CATANIA AREA METROPOLITANA,INTERNO,400,74,1650,3103,59,3,241,18,0,35,480,71,71,5295,11500,11550,49
San Giuseppe Jato,082064,8204,PALERMO PROVINCIA OVEST,INTERNO,174,28,342,995,0,0,219,9,2,11,260,0,23,187,2249,2251,2
San Gregorio di Catania,087042,11487,CATANIA AREA METROPOLITANA,INTERNO,342,14,454,1673,27,2,6,24,3,0,379,1065,226,1623,5835,5835,0
San Marco d'Alunzio,083079,1812,MESSINA PROVINCIA,INTERNO,6,13,69,151,0,0,49,3,0,0,80,0,0,138,507,538,30
San Mauro Castelverde,082065,1384,PALERMO PROVINCIA EST,COSTIERO,16,8,25,134,0,0,6,0,0,0,30,0,0,207,425,425,0
San Michele di Ganzaria,087043,2922,CATANIA PROVINCIA SUD,INTERNO,124,11,82,497,0,0,0,6,0,11,109,0,29,197,1068,1068,0
San Pier Niceto,083080,2632,MESSINA AREA METROPOLITANA,COSTIERO,61,11,54,384,0,0,1,8,1,4,63,0,0,550,1136,1140,5
San Piero Patti,083081,2612,MESSINA PROVINCIA,INTERNO,82,44,80,375,34,4,0,7,0,0,89,0,6,432,1153,1160,7
San Pietro Clarenza,087044,8229,CATANIA AREA METROPOLITANA,INTERNO,240,29,378,1317,144,0,57,25,1,16,187,207,58,686,3345,3358,13
San Salvatore di Fitalia,083082,1150,MESSINA PROVINCIA,INTERNO,0,0,30,122,0,0,31,0,0,8,43,0,0,57,291,293,2
San Teodoro,083090,1244,MESSINA PROVINCIA,INTERNO,0,0,54,127,0,46,32,0,0,4,53,0,0,74,392,393,1
San Vito Lo Capo,081020,4820,TRAPANI PROVINCIA NORD,COSTIERO,3,105,426,1731,159,33,426,78,13,48,727,77,146,995,4966,5011,45
Sant'Agata di Militello,083084,11950,MESSINA PROVINCIA,COSTIERO,0,383,644,1858,21,0,423,91,1,23,539,0,0,1523,5505,5511,6
Sant'Agata li Battiati,087045,9338,CATANIA AREA METROPOLITANA,INTERNO,213,117,901,1698,345,30,138,6,4,33,335,951,102,2345,7217,7217,0
Sant'Alessio Siculo,083085,1527,MESSINA AREA METROPOLITANA,COSTIERO,73,21,74,216,0,0,0,0,0,0,84,0,0,513,981,993,12
Sant'Alfio,087046,1518,CATANIA AREA METROPOLITANA,INTERNO,0,10,48,250,7,0,44,0,0,0,75,0,0,167,602,603,1
Sant'Angelo Muxaro,084039,1182,AGRIGENTO PROVINCIA EST,INTERNO,34,9,46,218,0,2,8,3,0,2,50,0,0,155,527,527,0
Sant'Angelo di Brolo,083088,2806,MESSINA PROVINCIA,INTERNO,6,31,97,282,0,0,72,6,0,6,105,0,0,326,930,932,2
Santa Caterina Villarmosa,085017,4785,CALTANISSETTA PROVINCIA NORD,INTERNO,0,63,161,535,0,0,106,3,0,2,185,0,0,400,1455,1455,0
Santa Cristina Gela,082066,990,PALERMO PROVINCIA OVEST,INTERNO,2,0,27,110,0,0,22,4,0,1,34,0,0,20,218,218,0
Santa Croce Camerina,088010,10912,RAGUSA PROVINCIA,COSTIERO,2,99,595,1540,205,87,474,26,2,19,513,0,474,1825,5860,6080,221
Santa Domenica Vittoria,083083,873,MESSINA PROVINCIA,INTERNO,24,15,22,0,0,0,0,0,0,0,30,0,0,230,321,321,0
Santa Elisabetta,084037,2172,AGRIGENTO PROVINCIA EST,INTERNO,56,14,83,350,0,4,19,4,0,6,80,0,0,233,850,850,0
Santa Flavia,082067,10999,PALERMO AREA METROPOLITANA,COSTIERO,0,151,370,1503,0,0,306,11,0,5,452,0,128,1183,4110,4110,0
Santa Lucia del Mela,083086,4428,MESSINA AREA METROPOLITANA,INTERNO,121,16,138,663,0,0,0,14,1,8,113,271,0,569,1912,1917,5
Santa Margherita di Belice,084038,6097,AGRIGENTO PROVINCIA OVEST,INTERNO,264,0,286,834,26,3,7,14,0,44,197,0,0,522,2196,2201,5
Santa Maria di Licodia,087047,7453,CATANIA AREA METROPOLITANA,INTERNO,10,18,256,740,0,0,240,4,1,9,144,132,40,838,2433,2433,0
Santa Marina Salina,083087,854,ISOLE EOLIE,ISOLE,0,9,50,0,12,8,25,8,0,0,100,0,0,400,611,628,17
Santa Ninfa,081019,4838,TRAPANI PROVINCIA SUD,INTERNO,233,14,287,617,38,16,44,0,1,55,160,0,0,278,1743,1747,3
Santa Teresa di Riva,083089,9337,MESSINA AREA METROPOLITANA,COSTIERO,416,65,550,1210,24,0,6,36,1,9,283,0,18,985,3603,3615,13
Santa Venerina,087048,8421,CATANIA PROVINCIA NORD,INTERNO,353,77,326,1346,130,0,17,11,1,7,244,0,0,1208,3721,3721,0
Santo Stefano Quisquina,084040,4159,AGRIGENTO PROVINCIA OVEST,INTERNO,2,17,151,427,21,0,67,25,1,8,141,288,0,519,1667,1725,57
Santo Stefano di Camastra,083091,4415,MESSINA PROVINCIA,COSTIERO,184,49,225,616,0,0,74,16,1,23,180,34,0,529,1930,1933,3
Saponara,083092,3704,MESSINA AREA METROPOLITANA,COSTIERO,0,37,225,536,43,13,140,8,1,10,113,0,0,213,1339,1344,5
Savoca,083093,1697,MESSINA AREA METROPOLITANA,INTERNO,48,13,51,174,0,0,0,0,0,0,54,0,0,273,612,612,0
Scaletta Zanclea,083094,1871,MESSINA AREA METROPOLITANA,COSTIERO,60,21,72,166,0,0,0,7,1,6,62,0,0,226,620,622,2
Sciacca,084041,39263,AGRIGENTO PROVINCIA OVEST,COSTIERO,9066,1100,1064,6733,1053,132,442,197,4,69,39,680,990,3658,25227,25285,59
Sciara,082068,2569,PALERMO PROVINCIA EST,INTERNO,1,24,69,341,0,6,73,12,0,2,50,0,0,168,746,746,0
Scicli,088011,26878,RAGUSA PROVINCIA,COSTIERO,7,52,1350,3385,102,135,968,62,4,27,1060,0,0,3579,10731,10743,12
Scillato,082081,614,PALERMO PROVINCIA EST,INTERNO,11,3,14,104,0,0,6,6,0,0,15,0,0,112,271,271,0
Sclafani Bagni,082069,387,PALERMO PROVINCIA EST,INTERNO,13,0,12,47,0,0,5,3,0,0,6,0,0,76,162,162,0
Scordia,087049,16211,CATANIA PROVINCIA SUD,INTERNO,551,235,634,2181,0,12,4,41,4,16,403,0,77,1554,5713,5714,1
Serradifalco,085018,5588,CALTANISSETTA PROVINCIA NORD,INTERNO,0,146,235,800,0,0,184,4,1,2,197,0,37,511,2115,2115,0
Siculiana,084042,4176,AGRIGENTO PROVINCIA EST,COSTIERO,208,13,209,678,72,0,44,35,6,37,147,0,0,632,2081,2087,6
Sinagra,083095,2498,MESSINA PROVINCIA,INTERNO,0,65,90,261,18,0,71,0,0,17,136,0,0,173,831,831,0
Siracusa,089017,117055,SIRACUSA PROVINCIA,COSTIERO,3915,388,5524,13226,479,61,119,293,138,441,3821,1126,897,29876,60303,60408,105
Solarino,089018,7578,SIRACUSA PROVINCIA,INTERNO,0,25,318,865,111,32,300,57,0,24,222,0,0,802,2755,2756,1
Sommatino,085019,6441,CALTANISSETTA PROVINCIA SUD,INTERNO,228,30,230,861,0,0,0,0,0,21,252,0,20,728,2372,2372,0
Sortino,089019,8298,SIRACUSA PROVINCIA,INTERNO,0,43,366,933,65,25,259,51,1,41,462,0,0,677,2922,2924,2
Spadafora,083096,4682,MESSINA AREA METROPOLITANA,COSTIERO,0,42,200,654,21,2,168,6,1,4,164,0,0,616,1877,1883,6
Sperlinga,086017,697,ENNA PROVINCIA,INTERNO,0,3,16,75,0,0,15,2,0,0,25,0,0,91,227,228,1
Sutera,085020,1209,CALTANISSETTA PROVINCIA NORD,INTERNO,0,16,28,159,0,0,50,0,0,1,45,0,0,77,376,376,0
Taormina,083097,10473,MESSINA AREA METROPOLITANA,COSTIERO,716,67,868,2866,0,0,0,5,1,0,1400,0,0,3072,8996,9019,23
Terme Vigliatore,083106,7216,MESSINA AREA METROPOLITANA,COSTIERO,281,23,372,1006,0,0,0,9,0,0,230,0,0,916,2836,2836,0
Termini Imerese,082070,25082,PALERMO PROVINCIA EST,COSTIERO,203,255,1072,2573,130,3,593,66,3,19,679,0,295,4659,10549,10552,3
Terrasini,082071,12706,PALERMO AREA METROPOLITANA,COSTIERO,44,85,643,2526,180,20,640,43,3,16,671,0,64,876,5810,5862,52
Torregrotta,083098,7268,MESSINA AREA METROPOLITANA,COSTIERO,215,72,374,1002,0,0,0,28,3,21,168,0,0,1153,3036,3043,8
Torrenova,083108,4484,MESSINA PROVINCIA,COSTIERO,16,39,336,617,0,0,220,0,0,0,185,0,0,298,1712,1712,0
Torretta,082072,4201,PALERMO AREA METROPOLITANA,COSTIERO,0,16,110,368,24,0,113,9,0,0,173,0,0,388,1201,1201,0
Tortorici,083099,5792,MESSINA PROVINCIA,INTERNO,2,11,130,238,0,0,108,11,0,17,200,0,0,625,1343,1356,12
Trabia,082073,10505,PALERMO PROVINCIA EST,COSTIERO,0,125,346,1263,207,14,292,48,2,10,326,0,8,1759,4400,4400,0
Trapani,081021,56293,TRAPANI PROVINCIA NORD,COSTIERO,10,333,3539,8946,813,89,2123,414,23,209,2553,175,0,10210,29436,29991,555
Trappeto,082074,3055,PALERMO AREA METROPOLITANA,COSTIERO,28,14,117,598,0,0,131,7,2,7,138,0,35,185,1262,1265,2
Trecastagni,087050,11230,CATANIA AREA METROPOLITANA,INTERNO,13,78,607,2108,62,17,468,15,1,0,337,16,38,1311,5071,5080,9
Tremestieri Etneo,087051,19851,CATANIA AREA METROPOLITANA,INTERNO,0,31,944,2685,54,0,577,4,0,23,495,0,258,1884,6956,6975,20
Tripi,083100,755,MESSINA PROVINCIA,INTERNO,27,15,21,156,0,0,0,0,0,0,25,0,0,80,324,324,0
Troina,086018,8642,ENNA PROVINCIA,INTERNO,0,50,437,939,55,0,308,14,1,18,299,0,0,502,2623,2623,0
Tusa,083101,2638,MESSINA PROVINCIA,COSTIERO,1,97,94,422,0,0,68,0,1,0,145,0,0,221,1050,1060,10
Ucria,083102,924,MESSINA PROVINCIA,INTERNO,0,7,20,134,0,0,22,3,0,3,41,0,0,94,325,327,2
Ustica,082075,1307,PALERMO AREA METROPOLITANA,ISOLE,0,12,51,156,0,12,47,29,0,0,107,0,0,170,583,583,0
Valderice,081022,11551,TRAPANI PROVINCIA NORD,COSTIERO,12,107,532,1984,168,29,488,115,8,58,461,70,84,827,4944,4967,23
Valdina,083103,1268,MESSINA AREA METROPOLITANA,COSTIERO,22,10,30,974,0,0,0,4,0,0,39,0,0,265,1343,1346,2
Valguarnera Caropepe,086019,7082,ENNA PROVINCIA,INTERNO,0,113,264,1307,0,0,203,13,2,3,216,0,0,671,2791,2832,40
Valledolmo,082076,3227,PALERMO PROVINCIA EST,INTERNO,53,6,135,528,8,1,66,9,1,0,79,0,0,241,1125,1129,4
Vallelunga Pratameno,085021,3164,CALTANISSETTA PROVINCIA NORD,INTERNO,0,56,108,338,0,0,78,13,1,1,122,20,0,275,1011,1013,2
Valverde,087052,7838,CATANIA AREA METROPOLITANA,INTERNO,11,114,344,868,110,0,263,31,1,20,215,136,117,995,3224,3498,274
Venetico,083104,3918,MESSINA AREA METROPOLITANA,COSTIERO,119,15,205,471,0,0,29,3,1,0,114,0,0,542,1499,1528,29
Ventimiglia di Sicilia,082077,1851,PALERMO PROVINCIA EST,INTERNO,0,9,64,324,0,0,58,3,0,7,60,0,0,170,694,695,0
Viagrande,087053,8789,CATANIA AREA METROPOLITANA,INTERNO,4,42,430,1683,105,10,364,36,2,14,316,118,22,959,4104,4611,507
Vicari,082078,2461,PALERMO PROVINCIA OVEST,INTERNO,0,79,38,211,0,0,40,0,0,0,49,0,0,370,787,787,0
Villabate,082079,19731,PALERMO AREA METROPOLITANA,INTERNO,21,26,650,2116,153,35,448,10,5,19,272,0,27,2398,6179,6180,1
Villafranca Sicula,084043,1345,AGRIGENTO PROVINCIA OVEST,INTERNO,55,0,45,167,31,7,23,19,6,23,43,0,0,65,482,483,1
Villafranca Tirrena,083105,8148,MESSINA AREA METROPOLITANA,COSTIERO,0,63,511,1188,65,0,285,19,6,54,289,130,68,964,3642,3732,90
Villafrati,082080,3083,PALERMO PROVINCIA EST,INTERNO,0,9,94,383,0,0,84,3,0,2,80,0,0,319,975,975,0
Villalba,085022,1446,CALTANISSETTA PROVINCIA NORD,INTERNO,0,62,33,237,0,0,26,0,1,0,42,0,0,174,574,574,0
Villarosa,086020,4450,ENNA PROVINCIA,INTERNO,0,17,116,361,0,0,91,7,0,3,102,0,0,719,1416,1416,0
Vita,081023,1822,TRAPANI PROVINCIA SUD,INTERNO,58,8,56,223,4,6,6,1,1,5,42,0,0,105,515,518,4
Vittoria,088012,62533,RAGUSA PROVINCIA,COSTIERO,2239,185,2983,7565,258,15,163,96,1,13,1701,60,446,8542,24266,24564,298
Vizzini,087054,5747,CATANIA PROVINCIA SUD,INTERNO,167,22,182,634,0,0,0,7,1,12,196,0,68,692,1983,1983,0
Zafferana Etnea,087055,9383,CATANIA AREA METROPOLITANA,INTERNO,0,33,375,1243,78,0,327,4,1,0,306,0,0,1183,3550,3550,0
